MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,SES,CLUSTER_CODE,INCOME_GROUP,MOR_HIT_RATE,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_CARD_GIFT,URBANICITY_e,DONOR_GENDER_e,OVERLAY_SOURCE_e,RECENCY_STATUS_96NK_e,DONATION_TYPE
137.0,79.0,0.0,2.0,45.0,7.0,0.0,334.0,212.0,72.0,10385.0,0.0,41.0,21.0,31.0,1.0,1.0,2.0,0.235,15.0,0.25,15.0,4.0,2.0,11.0,32.0,90.0,368.0,25.0,14.72,20.0,17.0,7.0,21.0,7.0,122.0,12.0,1.0,1.0,3.0,4.0,D
89.0,79.0,0.0,2.0,28.0,1.0,0.0,1004.0,189.0,95.0,12667.0,3.0,44.0,49.0,50.0,1.0,0.0,4.0,0.4,5.0,0.444,5.0,8.0,4.0,12.0,33.0,89.0,101.0,20.0,5.05,4.0,5.0,9.0,24.0,9.0,91.0,8.0,0.0,0.0,3.0,0.0,E
101.0,63.0,0.0,2.0,43.0,4.0,0.0,399.0,307.0,86.0,11428.0,1.0,33.0,33.0,29.0,1.0,1.0,3.0,0.35700000000000004,8.6,0.5710000000000001,8.5,5.0,4.0,11.0,27.0,62.0,150.0,22.0,6.82,8.0,8.0,11.0,27.0,9.0,91.0,13.0,1.0,0.0,0.0,4.0,C
137.0,62.47205456322213,0.0,2.0,43.0,3.3468119562486227,0.0,475.0,227.0,70.0,10221.0,0.0,30.0,33.0,29.0,1.0,1.0,2.0,0.35,10.0,0.5,10.0,7.0,5.0,22.0,44.0,110.0,186.0,31.0,6.0,9.0,10.0,9.0,22.0,22.0,129.0,14.0,1.0,0.0,2.0,4.0,E
77.0,81.0,0.0,2.0,45.0,4.0,24.0,530.0,236.0,81.0,12208.0,1.0,34.0,19.0,46.0,1.0,0.0,4.0,0.5,9.64,0.455,9.8,11.0,5.0,11.0,33.0,90.0,270.0,29.0,9.31,10.0,15.0,11.0,29.0,6.0,89.0,7.0,1.0,1.0,0.0,0.0,D
77.0,45.0,0.0,3.0,30.0,2.0,4.0,550.0,387.0,83.0,20210.0,0.0,49.0,43.0,37.0,1.0,1.0,4.0,0.438,6.14,0.5710000000000001,6.0,7.0,4.0,13.0,29.0,79.0,122.0,22.0,5.55,5.0,7.0,9.0,25.0,5.0,87.0,11.0,0.0,1.0,0.0,4.0,E
89.0,87.0,0.0,2.0,20.0,1.0,6.0,469.0,222.0,42.0,10469.0,0.0,46.0,17.0,39.0,1.0,0.0,2.0,0.35,12.86,0.364,12.5,7.0,4.0,17.0,39.0,94.0,261.0,24.0,10.88,12.0,12.0,11.0,23.0,17.0,87.0,10.0,2.0,0.0,0.0,0.0,C
89.0,37.0,0.0,1.0,23.0,5.0,7.0,1765.0,327.0,72.0,27674.0,0.0,50.0,14.0,71.0,0.0,0.0,4.0,0.364,25.88,0.455,27.0,8.0,5.0,15.0,40.0,107.0,470.0,21.0,22.38,25.0,35.0,11.0,27.0,8.0,87.0,7.0,0.0,0.0,0.0,0.0,B
17.0,30.0,0.0,1.0,35.0,6.0,11.0,1117.0,544.0,87.0,18212.0,1.0,27.0,70.0,21.0,0.0,0.0,1.0,0.077,20.0,0.2,20.0,1.0,1.0,20.0,13.0,39.0,76.0,9.0,8.44,15.0,20.0,5.0,14.0,20.0,87.0,1.0,3.0,1.0,0.0,2.0,B
89.0,67.0,0.0,2.0,49.0,3.4884347795134185,0.0,517.0,327.0,83.0,12605.0,0.0,27.0,32.0,25.0,1.0,19.0,1.0,0.2,14.0,0.111,11.0,4.0,1.0,15.0,37.0,106.0,297.0,27.0,11.0,20.0,15.0,9.0,26.0,7.0,86.0,5.0,1.0,0.0,2.0,0.0,B
